"State","costIndex","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"Mississippi","86.1000","93.2000","666","92.3000","89.1000","91.4000"
"Arkansas","86.9000","92.5000","75.6000","90.7000","91","97.4000"
"Oklahoma","87","94.6000","73","93.4000","92.5000","93.5000"
"Missouri","87.1000","95.4000","78.3000","96.3000","90.4000","95.8000"
"New Mexico","87.5000","94.6000","84.4000","89.9000","98.5000","91.9000"
"Tennessee","88.7000","93","79.4000","91.7000","8.6000","92.9000"
"Michigan","88.9000","91","80.2000","98.5000","101.8000","96.4000"
"Kansas","89","92.6000","70","100.1000","95.4000","90.3000"
"Georgia","89.2000","96.3000","74.3000","90.3000","95.7000","96.6000"
"Wyoming","89.3000","103.5000","81.7000","87.4000","94.5000","105.5000"
"Alabama","89.3000","98","69.2000","100.7000","92.8000","94.1000"
"Indiana","90","92.4000","76.4000","96.7000","96.6000","95.2000"
"Iowa","90.1000","98.3000","76.5000","94.1000","98.6000","93.7000"
"Ohio","90.8000","97.9000","76.1000","90.7000","99.6000","98.7000"
"Nebraska","90.8000","98.6000","86.6000","88.9000","100.4000","96.8000"
"Kentucky","90.9000","93.3000","80.1000","104.2000","101.6000","103.7000"
"West Virginia","91.1000","97.9000","77.1000","88.2000","104.8000","102.9000"
"Texas","91.5000","91.2000","83.5000","103.3000","90.9000","97"
"Idaho","92.3000","91.6000","105.5000","82.8000","98.6000","100.9000"
"Louisiana","93.9000","95.6000","86.3000","86.7000","94.9000","98.4000"
"Illinois","94.5000","97.4000","85.2000","95.8000","106.5000","96.7000"
"North Carolina","94.9000","97.4000","91.8000","97.2000","95.1000","99.2000"
"South Carolina","95.9000","101.8000","80.1000","105","93.5000","99.4000"
"Arizona","97","101.8000","106.2000","105.2000","98.8000","99.7000"
"Wisconsin","97.3000","100.9000","88.6000","98.1000","97.8000","98.9000"
"Florida","97.9000","106.9000","99.6000","103.1000","101.7000","98.4000"
"Utah","98.4000","97.9000","97.6000","93.2000","99.8000","99.5000"
"North Dakota","98.8000","102.1000","93.7000","93.3000","105.2000","96.3000"
"South Dakota","99.8000","101.8000","112.7000","91.2000","89.7000","91.1000"
"Virginia","100.7000","96.1000","112.1000","96.5000","88.7000","100.2000"
"Minnesota","101.6000","105","90.4000","96.2000","102.8000","108.8000"
"Pennsylvania","101.7000","109.3000","100.6000","109.5000","112","102.9000"
"Colorado","105.6000","99.9000","116.7000","87.9000","103","107.4000"
"Montana","106.9000","103.1000","105.9000","88.1000","95.3000","98.6000"
"Delaware","108.1000","109.5000","93.3000","104.3000","111","113.7000"
"Nevada","108.5000","110.8000","118.5000","87","113.2000","99.3000"
"New Hampshire","109.7000","99.7000","110.3000","115.2000","99.6000","110.8000"
"Washington","110.7000","109.2000","116.7000","91.1000","118.3000","110.4000"
"Vermont","114.5000","109.5000","136.7000","120.6000","116.4000","104.1000"
"Maine","117.5000","100.4000","142","107.2000","106.9000","108.4000"
"Rhode Island","119.4000","108.7000","124.2000","125.8000","111.1000","118.7000"
"New Jersey","125.1000","108.7000","137","104.6000","106.5000","106.6000"
"Connecticut","127.7000","101.8000","137.7000","132.3000","112.7000","114.1000"
"Maryland","129.7000","108.7000","171.3000","104","110.5000","108"
"Alaska","129.9000","132.7000","126.6000","157","111","113.7000"
"Massachusetts","131.6000","117","179.2000","110.8000","112.2000","116.1000"
"Oregon","134.2000","109","178.1000","90.1000","125.3000","118.5000"
"New York","139.1000","118.3000","230.2000","99.2000","110.6000","114.8000"
"California","151.7000","110.3000","192.7000","128.5000","136.1000","111.3000"
"Hawaii","192.9000","157.9000","313.1000","169.2000","141.1000","126.7000"
